	Parameter	t0	Pt	q0	Pq0	q1	Pq1	q2	Pq2
	 133	108537   	0.08317  	135671   	0.0004798	135671   	0.01161  	271341463	0.00000500
	 134	109350   	0.08303  	136687   	0.0004682	136687   	0.01160  	273373984	0.00000500
	 135	110163   	0.08127  	137703   	0.0004572	137703   	0.01160  	275406504	0.00000500
	 136	110976   	0.08370  	138720   	0.0004467	138720   	0.01159  	277439024	0.00000500
	 137	111789   	0.08547  	139736   	0.0004367	139736   	0.01158  	279471545	0.00000500
	 138	112602   	0.08120  	140752   	0.0004271	140752   	0.01158  	281504065	0.00000500
	 139	113415   	0.08457  	141768   	0.0004180	141768   	0.01157  	283536585	0.00000500
	 140	114228   	0.08657  	142785   	0.0004093	142785   	0.01156  	285569106	0.00000500
	 141	115041   	0.08910  	143801   	0.0004010	143801   	0.01155  	287601626	0.00000500
	 142	115854   	0.08580  	144817   	0.0003931	144817   	0.01155  	289634146	0.00000500
	 143	116667   	0.08517  	145833   	0.0003856	145833   	0.01154  	291666667	0.00000500
	 144	117480   	0.08637  	146850   	0.0003783	146850   	0.01153  	293699187	0.00000500
	 145	118293   	0.08880  	147866   	0.0003715	147866   	0.01152  	295731707	0.00000500
	 146	119106   	0.08810  	148882   	0.0003649	148882   	0.01152  	297764228	0.00000500
	 147	119919   	0.08987  	149898   	0.0003586	149898   	0.01151  	299796748	0.00000500
	 148	120732   	0.08737  	150915   	0.0003526	150915   	0.01150  	301829268	0.00000500
	 149	121545   	0.08720  	151931   	0.0003469	151931   	0.01149  	303861789	0.00000500
	 150	122358   	0.09137  	152947   	0.0003414	152947   	0.01149  	305894309	0.00000500
	 151	123171   	0.09187  	153963   	0.0003361	153963   	0.01148  	307926829	0.00000500
	 152	123984   	0.09043  	154980   	0.0003311	154980   	0.01147  	309959350	0.00000500
	 153	124797   	0.09340  	155996   	0.0003263	155996   	0.01146  	311991870	0.00000500
	 154	125610   	0.09253  	157012   	0.0003217	157012   	0.01145  	314024390	0.00000500
	 155	126423   	0.09117  	158028   	0.0003173	158028   	0.01145  	316056911	0.00000500
	 156	127236   	0.09130  	159045   	0.0003131	159045   	0.01144  	318089431	0.00000500
	 157	128049   	0.09383  	160061   	0.0003091	160061   	0.01143  	320121951	0.00000500
	 158	128862   	0.09447  	161077   	0.0003052	161077   	0.01142  	322154472	0.00000500
	 159	129675   	0.09510  	162093   	0.0003015	162093   	0.01141  	324186992	0.00000500
	 160	130488   	0.09450  	163110   	0.0002979	163110   	0.01141  	326219512	0.00000500
	 161	131301   	0.09327  	164126   	0.0002945	164126   	0.01140  	328252033	0.00000500
	 162	132114   	0.09360  	165142   	0.0002913	165142   	0.01139  	330284553	0.00000500
	 163	132927   	0.09407  	166159   	0.0002881	166159   	0.01138  	332317073	0.00000500
	 164	133740   	0.09763  	167175   	0.0002851	167175   	0.01138  	334349593	0.00000500
	 165	134553   	0.09887  	168191   	0.0002822	168191   	0.01137  	336382114	0.00000500
	 166	135366   	0.09523  	169207   	0.0002794	169207   	0.01136  	338414634	0.00000500
	 167	136179   	0.09690  	170224   	0.0002767	170224   	0.01135  	340447154	0.00000500
	 168	136992   	0.09647  	171240   	0.0002742	171240   	0.01134  	342479675	0.00000500
	 169	137805   	0.09983  	172256   	0.0002717	172256   	0.01134  	344512195	0.00000500
	 170	138618   	0.09847  	173272   	0.0002693	173272   	0.01133  	346544715	0.00000500
	 171	139431   	0.09807  	174289   	0.0002670	174289   	0.01132  	348577236	0.00000500
	 172	140244   	0.09870  	175305   	0.0002648	175305   	0.01131  	350609756	0.00000500
	 173	141057   	0.1007   	176321   	0.0002627	176321   	0.01130  	352642276	0.00000500
	 174	141870   	0.1021   	177337   	0.0002606	177337   	0.01130  	354674797	0.00000500
	 175	142683   	0.09700  	178354   	0.0002586	178354   	0.01129  	356707317	0.00000500
	 176	143496   	0.09813  	179370   	0.0002567	179370   	0.01128  	358739837	0.00000500
	 177	144309   	0.1015   	180386   	0.0002549	180386   	0.01127  	360772358	0.00000500
	 178	145122   	0.09930  	181402   	0.0002531	181402   	0.01127  	362804878	0.00000500
	 179	145935   	0.1021   	182419   	0.0002514	182419   	0.01126  	364837398	0.00000500
	 180	146748   	0.1032   	183435   	0.0002498	183435   	0.01125  	366869919	0.00000500
	 181	147561   	0.1032   	184451   	0.0002482	184451   	0.01124  	368902439	0.00000500
	 182	148374   	0.09953  	185467   	0.0002466	185467   	0.01123  	370934959	0.00000500
	 183	149187   	0.1014   	186484   	0.0002451	186484   	0.01123  	372967480	0.00000500
	 184	150000   	0.1041   	187500   	0.0002437	187500   	0.01122  	375000000	0.00000500
	 185	150813   	0.1014   	188516   	0.0002423	188516   	0.01121  	377032520	0.00000500
	 186	151626   	0.1056   	189533   	0.0002409	189533   	0.01120  	379065041	0.00000500
	 187	152439   	0.1021   	190549   	0.0002396	190549   	0.01120  	381097561	0.00000500
	 188	153252   	0.1018   	191565   	0.0002384	191565   	0.01119  	383130081	0.00000500
	 189	154065   	0.1046   	192581   	0.0002371	192581   	0.01118  	385162602	0.00000500
	 190	154878   	0.1015   	193598   	0.0002359	193598   	0.01117  	387195122	0.00000500
	 191	155691   	0.1043   	194614   	0.0002348	194614   	0.01117  	389227642	0.00000500
	 192	156504   	0.1054   	195630   	0.0002337	195630   	0.01116  	391260163	0.00000500
	 193	157317   	0.1053   	196646   	0.0002326	196646   	0.01115  	393292683	0.00000500
	 194	158130   	0.1030   	197663   	0.0002315	197663   	0.01114  	395325203	0.00000500
	 195	158943   	0.1037   	198679   	0.0002305	198679   	0.01114  	397357724	0.00000500
	 196	159756   	0.1054   	199695   	0.0002295	199695   	0.01113  	399390244	0.00000500
	 197	160569   	0.1050   	200711   	0.0002285	200711   	0.01112  	401422764	0.00000500
	 198	161382   	0.1010   	201728   	0.0002276	201728   	0.01111  	403455285	0.00000500
	 199	162195   	0.1031   	202744   	0.0002267	202744   	0.01111  	405487805	0.00000500
	 200	163008   	0.1067   	203760   	0.0002258	203760   	0.01110  	407520325	0.00000500
	 201	163821   	0.1072   	204776   	0.0002249	204776   	0.01109  	409552846	0.00000500
	 202	164634   	0.1038   	205793   	0.0002240	205793   	0.01108  	411585366	0.00000500
	 203	165447   	0.1062   	206809   	0.0002232	206809   	0.01108  	413617886	0.00000500
	 204	166260   	0.1040   	207825   	0.0002224	207825   	0.01107  	415650407	0.00000500
	 205	167073   	0.1053   	208841   	0.0002216	208841   	0.01106  	417682927	0.00000500
	 206	167886   	0.1043   	209858   	0.0002209	209858   	0.01105  	419715447	0.00000500
	 207	168699   	0.1106   	210874   	0.0002201	210874   	0.01105  	421747967	0.00000500
	 208	169512   	0.1103   	211890   	0.0002194	211890   	0.01104  	423780488	0.00000500
	 209	170325   	0.1049   	212907   	0.0002187	212907   	0.01103  	425813008	0.00000500
	 210	171138   	0.1084   	213923   	0.0002180	213923   	0.01103  	427845528	0.00000500
	 211	171951   	0.1073   	214939   	0.0002173	214939   	0.01102  	429878049	0.00000500
	 212	172764   	0.1061   	215955   	0.0002166	215955   	0.01101  	431910569	0.00000500
	 213	173577   	0.1050   	216972   	0.0002160	216972   	0.01101  	433943089	0.00000500
	 214	174390   	0.1055   	217988   	0.0002153	217988   	0.01100  	435975610	0.00000500
	 215	175203   	0.1051   	219004   	0.0002147	219004   	0.01099  	438008130	0.00000500
	 216	176016   	0.1045   	220020   	0.0002141	220020   	0.01098  	440040650	0.00000500
	 217	176829   	0.1044   	221037   	0.0002135	221037   	0.01098  	442073171	0.00000500
	 218	177642   	0.1107   	222053   	0.0002129	222053   	0.01097  	444105691	0.00000500
	 219	178455   	0.1096   	223069   	0.0002123	223069   	0.01096  	446138211	0.00000500
	 220	179268   	0.1080   	224085   	0.0002118	224085   	0.01096  	448170732	0.00000500
	 221	180081   	0.1059   	225102   	0.0002112	225102   	0.01095  	450203252	0.00000500
	 222	180894   	0.1093   	226118   	0.0002107	226118   	0.01094  	452235772	0.00000500
	 223	181707   	0.1065   	227134   	0.0002102	227134   	0.01094  	454268293	0.00000500
	 224	182520   	0.1083   	228150   	0.0002096	228150   	0.01093  	456300813	0.00000500
	 225	183333   	0.1077   	229167   	0.0002091	229167   	0.01092  	458333333	0.00000500
	 226	184146   	0.1111   	230183   	0.0002086	230183   	0.01092  	460365854	0.00000500
	 227	184959   	0.1075   	231199   	0.0002081	231199   	0.01091  	462398374	0.00000500
	 228	185772   	0.1099   	232215   	0.0002077	232215   	0.01090  	464430894	0.00000500
	 229	186585   	0.1094   	233232   	0.0002072	233232   	0.01090  	466463415	0.00000500
	 230	187398   	0.1129   	234248   	0.0002067	234248   	0.01089  	468495935	0.00000500
	 231	188211   	0.1064   	235264   	0.0002063	235264   	0.01088  	470528455	0.00000500
	 232	189024   	0.1088   	236280   	0.0002058	236280   	0.01088  	472560976	0.00000500
	 233	189837   	0.1102   	237297   	0.0002054	237297   	0.01087  	474593496	0.00000500
	 234	190650   	0.1119   	238313   	0.0002049	238313   	0.01087  	476626016	0.00000500
	 235	191463   	0.1099   	239329   	0.0002045	239329   	0.01086  	478658537	0.00000500
	 236	192276   	0.1089   	240346   	0.0002041	240346   	0.01085  	480691057	0.00000500
	 237	193089   	0.1117   	241362   	0.0002037	241362   	0.01085  	482723577	0.00000500
	 238	193902   	0.1112   	242378   	0.0002033	242378   	0.01084  	484756098	0.00000500
	 239	194715   	0.1131   	243394   	0.0002029	243394   	0.01083  	486788618	0.00000500
	 240	195528   	0.1064   	244411   	0.0002025	244411   	0.01083  	488821138	0.00000500
	 241	196341   	0.1092   	245427   	0.0002021	245427   	0.01082  	490853659	0.00000500
	 242	197154   	0.1107   	246443   	0.0002017	246443   	0.01082  	492886179	0.00000500
	 243	197967   	0.1096   	247459   	0.0002013	247459   	0.01081  	494918699	0.00000500
	 244	198780   	0.1104   	248476   	0.0002009	248476   	0.01080  	496951220	0.00000500
	 245	199593   	0.1089   	249492   	0.0002006	249492   	0.01080  	498983740	0.00000500
	 246	200407   	0.1109   	250508   	0.0002002	250508   	0.01079  	501016260	0.00000500
