Parameter,t0,Pt,q0,Pq0,q1,Pq1,q2,Pq2
314,255691,0.148,95884,0.0006021,3196138,0.001053,639227642,0.00000662
315,256504,0.1745,96189,0.0005931,3206301,0.001052,641260163,0.00000661
316,257317,0.1575,96494,0.0005842,3216463,0.001052,643292683,0.0000066
317,258130,0.166,96799,0.0005754,3226626,0.001052,645325203,0.00000659
318,258943,0.1535,97104,0.0005668,3236789,0.001052,647357724,0.00000658
319,259756,0.149,97409,0.0005584,3246951,0.001052,649390244,0.00000657
320,260569,0.167,97713,0.0005501,3257114,0.001052,651422764,0.00000656
321,261382,0.145,98018,0.000542,3267276,0.001051,653455285,0.00000655
322,262195,0.1495,98323,0.000534,3277439,0.001051,655487805,0.00000654
323,263008,0.1555,98628,0.0005262,3287602,0.001051,657520325,0.00000653
324,263821,0.1465,98933,0.0005185,3297764,0.001051,659552846,0.00000652
325,264634,0.1465,99238,0.0005109,3307927,0.001051,661585366,0.00000651
326,265447,0.1515,99543,0.0005035,3318089,0.00105,663617886,0.0000065
327,266260,0.139,99848,0.0004962,3328252,0.00105,665650407,0.00000649
328,267073,0.1325,100152,0.0004891,3338415,0.00105,667682927,0.00000648
329,267886,0.128,100457,0.000482,3348577,0.00105,669715447,0.00000647
330,268699,0.144,100762,0.0004751,3358740,0.00105,671747967,0.00000646
331,269512,0.131,101067,0.0004683,3368902,0.001049,673780488,0.00000645
332,270325,0.127,101372,0.0004616,3379065,0.001049,675813008,0.00000644
333,271138,0.1315,101677,0.0004551,3389228,0.001049,677845528,0.00000643
334,271951,0.1235,101982,0.0004486,3399390,0.001049,679878049,0.00000642
335,272764,0.1195,102287,0.0004423,3409553,0.001049,681910569,0.00000641
336,273577,0.1115,102591,0.0004361,3419715,0.001048,683943089,0.00000641
337,274390,0.1185,102896,0.0004299,3429878,0.001048,685975610,0.0000064
338,275203,0.1165,103201,0.0004239,3440041,0.001048,688008130,0.00000639
339,276016,0.122,103506,0.000418,3450203,0.001048,690040650,0.00000638
340,276829,0.1255,103811,0.0004122,3460366,0.001048,692073171,0.00000637
341,277642,0.1025,104116,0.0004065,3470528,0.001047,694105691,0.00000636
342,278455,0.1105,104421,0.0004009,3480691,0.001047,696138211,0.00000635
343,279268,0.1075,104726,0.0003953,3490854,0.001047,698170732,0.00000634
344,280081,0.122,105030,0.0003899,3501016,0.001047,700203252,0.00000633
345,280894,0.113,105335,0.0003846,3511179,0.001047,702235772,0.00000632
346,281707,0.101,105640,0.0003793,3521341,0.001046,704268293,0.00000631
347,282520,0.1125,105945,0.0003742,3531504,0.001046,706300813,0.0000063
348,283333,0.1075,106250,0.0003691,3541667,0.001046,708333333,0.00000629
349,284146,0.116,106555,0.0003641,3551829,0.001046,710365854,0.00000628
350,284959,0.114,106860,0.0003592,3561992,0.001046,712398374,0.00000627
351,285772,0.107,107165,0.0003543,3572154,0.001045,714430894,0.00000626
352,286585,0.115,107470,0.0003496,3582317,0.001045,716463415,0.00000625
353,287398,0.1025,107774,0.0003449,3592480,0.001045,718495935,0.00000624
354,288211,0.1105,108079,0.0003403,3602642,0.001045,720528455,0.00000624
355,289024,0.105,108384,0.0003358,3612805,0.001045,722560976,0.00000623
356,289837,0.1025,108689,0.0003313,3622967,0.001044,724593496,0.00000622
